corr,filtro,psu,region,p1_1,p1_2,p1_3,p2,p3,p4,p5,p6,p7,p7a,p7t,p8,p8a,p8t,p9,p9a,p9t,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p11_7,p11_8,p11_9,p11_10,p11_11,p11_12,p11_13,p11_14,p11_15,p11_16,p11_17,p11_18,p11_19,p11_20,p11_21,p11_22,p11_23,p11_24,p11_25,p12,p13_a,p13_b,p13_c,p13_d,p13_e,p13_f,p14,p15,p16,p17_a,p17_b,p17_c,p17_d,p17_e,p17_f,p17_g,p17_h,p17_i,p17_j,p17_k,p17_l,p17_m,p17_n,p18_a,p18_b,p18_c,p18_d,p18_e,p19,p20,p21,p22,p23,p24,p25,p26,p27_a,p27_b,p28_a,p28_b,te1,te2_a,te2_b,te2_c,te2_d,te2_e,te2_1,te3_a,te3_b,te3_c,te3_d,te3_e,te3_f,te3_g,te3_h,te3_i,te3_j,te4_a,te4_b,te4_c,te4_d,te5,te6,te7_a,te7_b,te7_c,te7_d,te7_e,te7_f,te7_g,te7_h,te7_i,te7_j,te8,te9_1,te9_2,te9_3,te10_1,te10_2,te10_3,te11_1,te11_2,te11_3,te12,te13,te14,te15,te16,te17,te18,te19_1,te19_2,te19_3,te20_a,te20_b,te21,te22,te23,te24,de1,de2,de2_a,de3,de4,de5,de5_c,de6,de7,de8,de9,de10,de11,de12,de13_a,de13_b,de13_c,de13_d,de13_e,de13_f,de13_g,de13_h,de13_i,de13_j,de13_k,de13_l,de13_m,de13_n,de13_o,de13_p,de14_a,de14_b,de14_c,de14_d,de14_e,de14_f,de15,de16,de17,b5,pond
853,622,102,8,4,9,7,3,1,1,1,1,5,,5,2,,2,5,,5,3,5,4,5,4,3,2,3,3,4,3,3,4,4,3,1,1,4,2,3,3,2,4,6,3,3,5,2,2,3,3,1,1,39,25,5,3,8,3,2,4,4,3,3,3,3,3,3,1,2,6,4,5,5,6,2,6,4,4,4,4,2,2,2,,8,,1,2,2,8,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,5,1,3,3,2,3,2,2,2,3,2,2,2,,,,5,3,4,3,2,4,2,,,,,,,,,,,,1,1,2,2,2,32,1971-06-24T00:00:00Z,1,19,15,7,1,11,1,5,9,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,14,3,1,1,1.02533006668091
854,623,102,8,3,5,7,3,1,1,2,2,2,,2,1,,1,1,,1,3,4,4,4,3,4,3,3,4,4,3,1,3,3,5,4,1,3,4,4,4,8,4,6,3,3,2,2,1,2,2,1,1,22,13,2,3,3,2,3,3,3,3,1,3,4,3,2,2,3,3,2,2,2,4,4,1,2,2,2,3,3,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,4,1,4,2,4,2,4,4,3,2,4,2,2,,,,2,3,4,4,3,6,1,1,97000,1,7,2,1,1,,,2,2,2,1,2,2,2,47,1956-01-19T00:00:00Z,1,21,15,8,1,11,1,8,5,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,12,4,1,1,1.0433714389801
855,624,102,8,9,6,4,3,1,1,1,1,9,9,9,5,5,5,7,7,7,3,4,4,4,8,4,8,8,8,3,4,6,4,5,6,4,8,8,8,8,8,6,4,6,8,4,88,2,1,2,2,1,1,48,25,4,8,8,8,8,8,8,8,8,9,8,8,8,1,3,5,4,5,6,7,2,6,5,5,4,4,2,2,2,,2,,2,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,1,1,4,1,4,1,4,1,4,1,4,2,,,,3,1,2,10,9,3,1,2,10000,2,,2,1,2,,,1,1,1,1,1,1,2,44,1958-10-15T00:00:00Z,1,20,15,8,1,1,1,5,9,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,6,4,2,1,0.78246146440506
856,625,102,8,3,7,14,3,1,1,1,1,5,,5,2,,2,4,,4,3,4,2,4,5,2,1,4,2,4,3,3,3,4,2,1,3,4,3,4,4,2,4,3,3,4,5,3,2,2,3,2,1,39,13,1,3,3,3,3,2,3,3,1,2,2,2,3,2,1,6,6,7,7,7,2,2,5,5,5,6,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,6,3,4,4,4,4,2,2,2,2,2,1,1,1,8,7,,,,1,2,4,2,,,,,,,,,,,,1,1,2,2,1,30,1972-11-16T00:00:00Z,1,23,15,8,1,13,9,8,9,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,13,4,1,1,1.20403659343719
857,666,110,8,11,5,10,3,2,2,1,1,6,,6,2,,2,5,,5,3,4,3,4,2,2,2,4,2,4,3,4,3,4,2,2,2,4,2,3,4,2,2,6,3,4,6,2,3,2,2,1,2,39,13,1,2,2,3,3,2,3,3,3,2,2,3,3,2,1,5,4,4,4,5,3,6,5,5,4,4,3,2,2,,1,2,2,2,1,1,1,2,2,2,2,8,2,2,2,2,2,2,2,1,8,1,1,5,2,2,4,2,4,3,3,3,2,2,2,2,,,,6,9,10,10,9,4,1,2,14000,1,4,2,1,4,,,1,1,1,1,2,2,2,45,1958-01-03T00:00:00Z,3,15,14,3,1,5,1,5,9,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,5,2,3,1,1.0433714389801
858,667,110,8,1,5,6,3,1,3,1,1,5,,5,2,,2,5,,5,3,5,4,5,3,3,3,4,4,4,4,4,3,4,4,3,2,4,3,3,3,6,3,3,4,4,5,1,1,1,1,1,1,14,9,4,3,1,3,3,3,3,2,3,2,2,3,3,2,3,5,3,4,5,6,4,6,5,5,5,5,3,1,2,,2,,2,1,1,1,2,2,5,1,2,2,1,1,1,1,1,9,1,2,1,1,1,6,1,2,4,3,4,3,3,4,3,3,3,1,10,1,11,,,,1,4,8,2,,,,,,,,,,,,8,1,2,1,2,77,1925-10-04T00:00:00Z,6,0,1,0,9,1,2,1,5,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,5,10,4,1,0.746192216873169
859,921,147,13,5,6,7,3,2,1,1,3,9,9,9,5,5,5,7,7,7,8,4,3,4,3,3,3,8,8,8,4,4,3,4,4,3,3,3,4,3,3,8,3,3,3,3,7,2,2,2,2,1,1,48,25,4,2,2,3,3,3,3,8,8,3,3,3,2,1,2,5,4,5,4,5,2,8,5,3,,,3,8,8,,8,,2,8,8,8,8,8,8,8,8,2,1,8,8,8,8,8,8,1,1,1,8,5,1,2,2,1,3,4,4,2,2,8,8,2,,,,3,2,6,5,4,1,3,,,,,,,,,,,,2,1,2,1,2,32,1971-06-08T00:00:00Z,3,14,14,2,5,88,1,6,99,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,88,6,4,1,1.02533006668091
860,922,147,13,1,3,11,2,3,2,9,9,99,9,9,5,5,5,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,49,26,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,5,4,9,9,,,,,9,9,9,,9,,2,1,1,8,1,1,1,1,1,1,1,2,1,1,1,8,1,2,1,1,1,3,3,4,3,3,2,3,4,4,2,3,2,2,,,,2,3,1,1,3,4,1,3,5000,8,,3,2,,,,1,1,2,1,2,1,1,40,1962-09-09T00:00:00Z,1,12,5,4,1,99,1,8,99,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,99,4,4,1,1.03771758079529
861,924,147,13,3,6,5,2,3,3,2,2,9,9,9,5,5,5,7,7,7,8,2,2,4,8,2,3,8,8,8,8,8,8,2,5,3,2,3,4,8,3,8,2,8,3,2,88,2,1,1,1,1,1,22,13,2,1,2,2,2,3,3,3,2,4,4,4,3,4,3,1,1,1,1,1,8,8,1,1,4,4,9,9,9,,9,,2,8,8,8,8,8,2,9,9,8,8,9,9,9,9,9,9,8,8,8,8,1,3,8,8,8,8,2,3,8,8,8,8,8,,,,,,,7,11,1,2,,,,,,,,,,,,8,2,1,1,2,64,1938-10-01T00:00:00Z,6,11,7,3,1,88,1,2,99,1,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,99,6,4,1,0.746192216873169
862,928,148,13,3,9,10,2,2,2,1,1,9,9,9,5,5,5,7,7,7,3,4,3,4,3,3,3,3,8,3,3,4,3,4,4,2,2,8,3,4,2,8,8,8,8,4,88,1,1,1,1,1,1,48,21,8,2,3,3,4,3,4,3,4,3,3,3,3,3,2,3,1,4,4,4,4,6,4,3,,1,3,2,1,2,8,,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,3,1,3,3,3,2,3,3,2,4,2,2,1,8,3,2,,,,1,3,4,2,,,,,,,,,,,,2,1,2,1,2,76,1927-08-07T00:00:00Z,1,8,4,8,9,1,1,3,9,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,6,6,4,1,0.746192216873169
863,934,149,13,5,9,10,3,2,1,1,1,7,,7,2,,2,4,,4,2,4,4,5,4,3,3,3,4,3,3,3,6,4,4,6,4,4,4,4,3,6,3,6,3,4,7,2,3,2,2,2,1,36,20,1,2,2,3,3,4,4,3,2,2,3,3,3,3,3,6,6,5,6,4,4,2,6,5,5,3,3,1,1,1,8,,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,1,2,4,3,2,3,3,2,2,2,1,1,3,1,11,,,,4,3,1,1,5,,1,2,2,1,2,,,1,1,2,1,2,1,2,35,1967-11-10T00:00:00Z,1,13,13,1,1,5,1,8,9,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,9,10,4,1,0.78246146440506
864,935,149,13,6,3,9,2,2,2,8,3,9,9,9,5,5,5,7,7,7,8,3,8,8,3,3,8,8,8,8,3,3,8,3,3,3,8,8,3,3,8,8,8,8,8,8,88,1,1,1,1,1,1,22,13,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,3,4,4,6,,,,,8,8,8,,8,,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,2,3,3,3,4,3,2,2,2,,,,3,4,2,3,4,5,1,3,8000,8,,2,1,2,,,1,1,2,1,2,2,2,25,1978-04-02T00:00:00Z,1,11,7,3,9,1,1,6,9,1,4,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,5,4,4,1,1.02533006668091
865,936,150,13,5,3,9,4,1,1,1,1,9,9,9,5,5,5,7,7,7,3,4,3,4,3,8,8,8,8,8,3,4,3,3,3,3,3,3,3,3,3,6,8,6,8,8,9,2,3,2,2,1,1,22,13,5,2,4,4,4,4,3,4,4,4,3,3,3,2,3,5,5,5,5,4,3,6,3,4,4,4,1,2,8,,2,,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,8,1,1,1,4,1,2,4,3,4,2,4,3,4,2,2,2,,,,3,2,4,4,3,5,2,,,,,,,,,,,,2,1,1,2,1,39,1964-01-01T00:00:00Z,1,16,14,4,1,6,1,2,9,1,3,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,8,2,4,1,1.03771758079529
866,940,150,13,6,7,11,3,2,1,1,1,9,9,9,5,5,5,7,7,7,3,2,2,3,6,6,8,8,3,3,2,3,3,4,4,2,2,6,8,3,8,6,3,6,3,8,11,1,1,1,1,1,1,48,20,5,2,3,3,4,4,4,3,4,3,4,4,4,4,4,5,4,4,2,4,4,6,4,1,1,3,8,8,8,,2,,2,2,1,2,1,1,2,1,1,1,1,1,8,1,1,1,1,2,2,2,1,4,1,2,4,3,4,3,3,3,2,3,2,2,,,,3,9,4,4,3,1,1,8,,8,,8,2,,,,1,1,2,1,1,1,1,34,1968-12-18T00:00:00Z,5,11,8,3,5,2,1,8,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6,5,4,1,1.20403659343719
867,1026,168,13,6,14,4,3,1,1,9,9,9,9,9,5,5,5,7,7,7,3,4,3,3,8,8,6,6,6,6,3,6,4,4,4,8,2,8,6,6,6,6,6,6,8,8,10,2,2,1,1,1,1,39,22,5,3,4,4,4,3,3,3,3,3,4,4,3,3,3,5,4,3,3,2,3,8,5,5,5,,8,1,8,,8,,2,1,1,2,1,2,2,1,1,1,1,2,9,1,1,1,1,1,2,2,1,2,9,4,4,2,3,3,3,4,4,4,3,2,,,,1,3,9,3,1,5,3,,,,,,,,,,,,2,1,1,2,2,18,1985-07-04T00:00:00Z,3,12,5,4,7,1,1,5,9,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,10,5,4,1,1.15786373615265
868,1027,168,13,2,7,10,2,1,3,2,3,2,,2,1,,1,1,,1,1,4,4,4,4,3,2,2,4,3,2,3,2,2,4,3,2,3,4,2,3,3,4,3,4,3,2,3,3,3,3,1,1,22,13,2,3,2,2,2,3,3,2,2,3,3,4,2,1,3,2,1,3,2,3,3,6,3,3,2,4,2,2,1,2,1,2,2,2,1,8,1,1,2,8,1,1,1,1,2,1,8,1,2,1,2,2,2,3,3,2,4,2,4,3,4,3,4,3,3,2,,,,2,1,9,1,3,7,2,,,,,,,,,,,,2,1,1,2,2,58,1945-06-03T00:00:00Z,1,15,13,3,9,1,1,2,9,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,11,4,3,1,0.746192216873169
869,1028,168,13,7,9,6,2,1,1,1,1,1,,1,2,,2,3,,3,2,5,2,5,8,3,2,3,3,3,4,4,3,4,2,3,2,3,2,2,2,3,4,4,4,4,1,3,3,3,2,1,1,39,22,1,2,8,2,3,3,3,8,2,3,3,3,2,3,2,4,1,6,1,4,2,6,5,5,5,2,3,8,2,,2,,2,2,1,2,1,2,2,8,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,3,4,2,4,2,4,2,3,3,3,2,,,,2,4,9,1,3,5,2,,,,,,,,,,,,2,1,1,1,2,82,1920-08-26T00:00:00Z,6,12,5,4,8,9,1,2,9,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,9,2,3,1,0.746192216873169
870,1029,168,13,5,6,3,3,1,1,1,1,9,9,9,5,5,5,7,7,7,2,4,4,4,4,2,2,4,2,3,1,4,4,4,1,1,4,4,2,4,3,6,4,6,2,3,9,3,1,2,2,1,1,48,25,5,4,4,4,4,3,4,8,3,3,4,4,4,8,1,4,5,5,3,2,2,2,7,5,6,4,2,1,1,2,1,2,1,2,1,8,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,4,3,4,3,3,3,3,3,3,2,,,,4,2,9,1,3,5,3,,,,,,,,,,,,2,1,1,2,1,24,1979-06-21T00:00:00Z,3,12,5,4,1,8,1,8,9,1,3,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,11,4,3,1,1.25462162494659
871,1030,168,13,10,7,8,2,2,2,8,3,9,9,9,5,5,5,7,7,7,3,5,3,5,2,3,1,3,2,9,3,2,4,4,1,1,3,3,2,2,3,2,3,6,2,3,7,1,2,2,1,1,1,30,17,1,3,4,4,3,4,4,2,2,3,4,3,4,2,4,4,3,2,4,4,2,6,5,5,4,2,3,2,8,,8,,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,1,2,4,2,4,2,4,2,2,2,4,2,,,,4,3,10,4,1,3,1,1,140000,1,5,1,1,1,2,,1,1,2,1,1,2,1,39,1963-12-16T00:00:00Z,1,22,15,8,1,11,1,8,9,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,11,4,2,1,1.03771758079529
872,1051,173,13,3,5,10,3,2,1,1,2,2,,2,2,,2,2,,2,2,4,2,4,3,3,3,3,4,3,4,4,4,4,4,3,3,4,4,4,3,6,4,6,3,4,2,2,2,1,2,1,1,39,13,4,3,4,2,3,2,3,2,2,3,3,2,2,3,2,4,3,3,4,3,2,6,5,4,3,4,3,2,1,2,1,2,2,2,1,2,1,1,4,1,1,2,2,2,2,1,1,2,2,1,2,1,1,4,3,2,2,3,3,2,4,2,4,2,3,2,,,,1,3,4,3,10,6,3,,,,,,,,,,,,2,1,2,2,2,19,1983-09-17T00:00:00Z,3,12,5,4,7,1,1,7,9,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,11,3,2,1,1.15786373615265
873,1052,173,13,3,6,9,2,2,2,2,2,4,,4,1,,1,2,,2,3,3,2,4,6,3,3,6,3,8,3,3,6,3,3,3,2,8,3,4,3,6,8,6,3,3,4,2,2,2,2,1,1,49,25,2,3,4,3,3,3,3,4,3,3,4,3,3,2,3,3,3,2,3,3,2,6,4,4,4,4,2,2,1,9,8,,2,1,1,8,2,2,1,1,2,2,9,1,2,1,2,2,1,1,2,2,1,3,2,4,2,4,3,3,4,3,2,2,2,2,,,,5,4,3,1,4,3,1,1,90000,2,,2,1,2,,,1,1,1,1,2,2,2,39,1963-10-28T00:00:00Z,1,19,15,5,3,6,1,6,9,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,12,5,2,1,0.78246146440506
874,1053,173,13,5,8,6,3,1,2,1,1,9,9,9,2,,2,4,,4,3,5,4,5,2,1,1,4,4,5,2,5,4,4,2,1,3,4,1,4,3,6,4,6,3,3,1,1,2,3,2,2,2,39,13,4,4,3,3,2,3,3,2,8,2,4,3,4,2,3,5,6,5,4,4,3,2,6,4,4,4,2,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,3,3,4,3,4,2,2,2,3,2,,,,4,7,3,4,1,10,3,,,,,,,,,,,,1,1,2,2,2,24,1978-11-19T00:00:00Z,3,18,15,6,6,2,9,8,9,1,3,2,1,2,2,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,11,2,2,1,1.15786373615265
875,1054,173,13,3,11,9,3,3,2,1,3,4,,4,1,,1,1,,1,2,5,4,5,3,5,4,2,5,4,2,3,4,4,5,5,3,4,3,5,3,5,5,3,5,2,4,2,2,2,1,1,3,30,17,4,3,3,3,3,3,3,1,3,3,3,4,3,1,3,5,1,5,1,5,3,6,6,4,4,4,3,2,1,2,1,2,2,1,2,8,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,2,3,3,3,4,2,3,3,3,4,3,2,,,,9,10,6,5,11,9,3,,,,,,,,,,,,1,1,2,2,2,75,1928-04-20T00:00:00Z,3,12,6,6,8,8,1,3,9,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,8,4,2,1,0.746192216873169
876,1098,182,13,10,1,3,1,2,2,1,1,1,,1,2,,2,4,,4,1,4,4,4,4,4,4,2,4,4,2,4,2,3,4,2,1,1,3,4,4,4,4,4,4,4,1,2,2,1,1,1,1,22,25,1,1,3,3,3,3,3,2,2,2,4,3,2,2,2,5,4,5,1,5,3,6,,,,,3,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,2,2,3,2,4,2,3,2,4,2,2,2,,,,3,4,8,1,4,5,2,,,,,,,,,,,,2,1,1,2,2,73,1930-03-03T00:00:00Z,3,5,4,5,8,99,1,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,1,3,1,0.746192216873169
877,1126,188,13,11,13,7,1,3,3,2,3,9,9,9,5,5,5,6,6,6,1,4,2,4,6,3,6,6,6,6,3,3,2,3,2,3,2,3,3,4,4,6,3,6,6,6,9,1,1,1,1,1,1,22,13,5,4,2,4,4,3,4,4,4,3,3,3,2,8,2,4,2,2,2,2,4,6,,,,,2,1,2,,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,5,1,4,3,4,4,2,4,3,4,2,3,1,1,2,6,,,,3,4,6,1,5,,2,,1,1,4,,,1,1,2,1,2,2,2,30,1972-11-21T00:00:00Z,3,12,5,4,1,6,8,1,9,2,3,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,6,2,4,1,1.02533006668091
878,1139,190,13,3,8,11,3,2,2,2,2,2,,2,1,,1,6,6,6,1,4,2,4,2,4,4,3,3,2,3,2,2,2,4,4,2,2,4,4,3,4,3,3,4,2,2,1,1,1,1,1,1,22,13,1,3,3,3,3,3,3,4,3,3,3,3,3,3,3,1,1,2,1,,4,1,2,2,5,5,8,8,8,,1,2,1,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,1,2,4,3,4,3,2,3,4,3,2,2,,,,2,7,8,4,1,3,2,,,,,,,,,,,,2,1,1,2,2,67,1935-10-04T00:00:00Z,3,7,4,7,1,99,1,7,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,99,1,4,1,0.746192216873169
879,1156,194,13,10,5,4,1,2,3,8,3,9,9,9,5,5,5,7,7,7,8,4,2,4,3,3,2,2,8,4,2,8,2,4,4,2,2,2,6,2,4,8,3,8,3,8,88,1,1,1,1,1,1,22,13,8,4,2,4,4,3,3,2,3,2,4,2,3,2,3,4,3,3,4,5,4,6,5,4,3,2,2,2,2,,2,,2,2,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,5,2,3,2,1,3,4,2,2,3,3,2,2,,,,10,4,6,3,1,4,1,5,,1,3,2,1,2,,,1,1,2,1,2,2,1,41,1962-01-24T00:00:00Z,1,8,4,8,1,6,2,4,9,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,6,3,4,1,1.03771758079529
880,1157,194,13,3,10,6,2,2,2,2,3,9,9,9,5,5,5,7,7,7,3,4,2,4,2,3,2,2,2,3,4,2,3,3,2,2,2,4,2,2,2,2,2,6,2,2,88,2,2,1,1,1,1,30,17,1,2,4,4,4,3,4,4,2,4,4,4,4,2,2,5,3,4,3,3,3,1,1,1,1,1,2,2,2,,2,,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,5,3,3,1,3,4,3,2,1,3,2,2,2,,,,1,5,3,3,1,4,1,5,,1,2,2,1,2,,,1,1,2,1,2,2,1,45,1957-10-22T00:00:00Z,1,12,5,4,1,6,1,5,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,6,6,4,1,1.3042163848877
881,1158,194,13,3,4,5,3,2,2,2,3,1,,1,2,,2,3,,3,1,5,2,5,2,6,6,6,6,8,4,8,8,3,3,8,2,8,3,8,3,3,3,3,3,3,1,1,1,1,1,1,1,14,25,1,4,2,3,3,2,2,2,3,3,3,3,3,2,2,5,1,1,5,5,4,6,3,2,1,1,2,2,2,,2,,1,8,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,5,2,3,2,1,4,3,3,3,2,2,2,2,,,,1,5,3,5,3,1,1,2,12000,1,3,2,1,2,,,1,1,1,1,2,2,2,37,1966-02-01T00:00:00Z,3,8,4,8,2,2,2,2,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,6,4,1,0.78246146440506
882,1159,194,13,2,5,9,2,2,2,2,3,2,,2,1,,1,1,,1,2,2,4,4,2,2,2,2,2,2,2,3,2,2,4,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,22,13,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,2,2,2,4,6,2,2,2,1,1,2,2,,2,,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,4,4,4,4,2,2,2,2,3,2,1,1,8,10,,,,1,8,10,1,5,,1,3,2,1,2,,,1,1,2,1,2,2,2,40,1962-09-13T00:00:00Z,5,10,5,2,1,5,1,4,9,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,5,3,4,1,0.78246146440506
883,1160,194,13,7,10,5,2,2,2,2,3,9,9,9,5,5,5,7,7,7,2,4,3,4,3,3,8,8,8,8,4,4,4,2,4,3,2,3,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,48,25,1,2,2,2,3,2,2,4,3,3,3,3,3,3,2,1,1,4,4,3,4,6,3,2,1,1,2,2,2,,2,,1,8,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,2,3,2,1,4,3,2,2,1,2,2,1,2,1,6,,,,3,1,4,2,,,,,,,,,,,,1,1,2,2,2,55,1948-04-12T00:00:00Z,1,1,2,1,9,2,1,4,9,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,4,1,0.746192216873169
884,1299,222,13,6,7,11,2,2,2,1,1,5,,5,2,,2,4,,4,2,5,3,4,3,2,3,4,2,4,3,3,3,4,3,2,2,3,6,3,3,6,3,6,3,4,5,2,2,1,2,1,1,30,13,4,3,4,3,3,3,3,2,3,2,3,3,3,2,3,5,5,5,6,6,3,6,5,5,5,4,3,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,1,3,2,3,2,3,3,3,3,2,2,2,,,,2,4,9,3,5,11,1,5,,1,3,1,2,,,,1,1,2,1,2,2,1,51,1951-11-09T00:00:00Z,1,6,4,6,1,8,1,3,9,1,5,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,8,2,4,1,1.3042163848877
885,1300,222,13,3,1,6,3,3,1,8,2,9,4,4,1,,1,2,,2,2,4,4,4,2,4,2,2,2,4,4,4,2,2,4,4,2,2,4,4,4,4,4,2,2,4,4,2,2,2,2,1,1,39,13,2,3,4,3,4,4,3,2,3,3,3,4,3,2,2,5,4,4,4,6,3,5,6,5,5,4,3,2,1,2,1,2,3,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,2,2,2,5,1,2,3,2,3,2,3,2,4,3,2,2,,,,4,3,2,7,3,6,2,,,,,,,,,,,,2,1,3,2,1,52,1951-03-10T00:00:00Z,1,12,6,6,1,6,1,5,9,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,6,2,3,1,1.3042163848877
886,1305,223,13,3,5,7,3,3,1,1,1,9,9,9,5,5,5,7,7,7,1,4,3,4,4,3,3,3,3,3,4,4,4,4,4,3,2,3,3,3,4,3,4,3,3,3,10,1,2,1,1,1,1,22,13,5,3,3,2,3,3,3,3,2,2,3,3,3,3,3,6,5,5,6,6,3,4,7,6,6,6,2,8,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,6,1,4,3,3,3,3,3,2,3,4,2,2,,,,3,2,4,1,3,5,3,,,,,,,,,,,,2,1,2,2,1,39,1964-02-01T00:00:00Z,3,12,5,4,7,99,10,8,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,2,4,1,1.03771758079529
